# x1,	x2,	probability,	lower bound,	upper bound
0.7500625000000001,	0.04175833333333333,	0.003020655850436038,	1.0530283515075567E-4,	0.03712105835211921
0.7500625000000001,	0.06258749999999999,	0.006345221173400417,	4.2217751559392447E-4,	0.04979436314722285
0.7500625000000001,	0.08341666666666665,	0.015786709628413442,	0.001949679483575606,	0.07877653791314604
0.7500625000000001,	0.10424583333333332,	0.04058889924428827,	0.008608904705001474,	0.13441473690522354
0.7500625000000001,	0.125075,	0.09559803903521458,	0.031300447410389176,	0.22600075982254064
0.7500625000000001,	0.14590416666666667,	0.19110941391385045,	0.08630661942625428,	0.3505723225623839
0.7500625000000001,	0.16673333333333334,	0.3165709306284439,	0.17837922504240283,	0.4868136530891188
0.7500625000000001,	0.18756250000000002,	0.44185585313674014,	0.2870838653383381,	0.6061863122901542
0.7500625000000001,	0.2083916666666667,	0.5386054713023662,	0.38087587176435234,	0.6904137351837626
0.7500625000000001,	0.22922083333333337,	0.5937755695157148,	0.4381357446991066,	0.7357290996876789
0.7500625000000001,	0.25005000000000005,	0.605517909391773,	0.4509462621965689,	0.7449181506283105
0.7500625000000001,	0.2708791666666667,	0.5749203884144253,	0.41919940050669796,	0.7196400601678776
0.7500625000000001,	0.2917083333333334,	0.5038545526573731,	0.3481920802404568,	0.6589247138109595
0.7500625000000001,	0.3125375000000001,	0.39968413786189816,	0.25180227803826466,	0.5637561915884549
0.7500625000000001,	0.33336666666666676,	0.28087652247724143,	0.15375241725337085,	0.4443269983963394
0.7500625000000001,	0.35419583333333343,	0.17323070559833126,	0.0778377229692852,	0.32161658064408283
0.7500625000000001,	0.3750250000000001,	0.09536970941501594,	0.0331098293415818,	0.2177378700386004
0.7500625000000001,	0.3958541666666668,	0.04927475451489427,	0.012505454553785655,	0.14397736911937437
0.7500625000000001,	0.41668333333333346,	0.025830690441464355,	0.0045932447805232535,	0.09907250229512443
0.7500625000000001,	0.43751250000000014,	0.015040690528583589,	0.0018262039630352334,	0.07616997408675608
0.7500625000000001,	0.4583416666666668,	0.010568919150466372,	8.68966760978529E-4,	0.06952740799123847
0.7500625000000001,	0.4791708333333335,	0.009465852859947887,	5.335095231037146E-4,	0.07758371773344797
0.7500625000000001,	0.5000000000000001,	0.010908996063709875,	4.3857089496124324E-4,	0.10386823675152124
0.8333916666666668,	1.0E-4,	0.0011591917451601597,	8.134106261159513E-6,	0.03742327775653037
0.8333916666666668,	0.020929166666666665,	0.0010271158204862019,	1.0829461699890519E-5,	0.02758783533181669
0.8333916666666668,	0.04175833333333333,	0.0012893864859825355,	2.3393534362481372E-5,	0.025187804601463415
0.8333916666666668,	0.06258749999999999,	0.0022884140898754013,	7.82314118513705E-5,	0.029364280881448823
0.8333916666666668,	0.08341666666666665,	0.005347936184213142,	3.553262236626331E-4,	0.04275931932989985
0.8333916666666668,	0.10424583333333332,	0.01452751697578164,	0.001817825380298066,	0.07251396957390971
0.8333916666666668,	0.125075,	0.039736344030755655,	0.008616912938044341,	0.13011939526177824
0.8333916666666668,	0.14590416666666667,	0.09683237919619819,	0.03249118705227477,	0.22535002330732729
0.8333916666666668,	0.16673333333333334,	0.19554330448065438,	0.09018896418049888,	0.3535682534782889
0.8333916666666668,	0.18756250000000002,	0.32198786464587037,	0.18405550990407277,	0.49031576921345027
0.8333916666666668,	0.2083916666666667,	0.44317852549174486,	0.28986089091420125,	0.605635136257753
0.8333916666666668,	0.22922083333333337,	0.5310734787550346,	0.3750879319330354,	0.6823729223538644
0.8333916666666668,	0.25005000000000005,	0.5742212442969898,	0.41968431810453516,	0.7180181748990445
0.8333916666666668,	0.2708791666666667,	0.5715685437563361,	0.4175721742477093,	0.7152697800952841
0.8333916666666668,	0.2917083333333334,	0.5249727018732594,	0.37096842170085154,	0.6752892437739058
0.8333916666666668,	0.3125375000000001,	0.43944483726531036,	0.28971943769455666,	0.5984939267548596
0.8333916666666668,	0.33336666666666676,	0.3287881704444479,	0.19380211325375918,	0.4910032367081248
0.8333916666666668,	0.35419583333333343,	0.2169222869732036,	0.10877611699871748,	0.36987048005673323
0.8333916666666668,	0.3750250000000001,	0.12720301321669036,	0.05145937108139792,	0.258311399359611
0.8333916666666668,	0.3958541666666668,	0.06897490953637964,	0.021426880367000245,	0.17314606024005147
0.8333916666666668,	0.41668333333333346,	0.037092266360671255,	0.008506492571591306,	0.11810360741768577
0.8333916666666668,	0.43751250000000014,	0.02159337306410991,	0.0035554124858425684,	0.0881573098773561
0.8333916666666668,	0.4583416666666668,	0.014828887599668383,	0.0017215186794506399,	0.07720524339401441
0.8333916666666668,	0.4791708333333335,	0.012793463397299643,	0.001040314136666165,	0.08281643158047525
0.8333916666666668,	0.5000000000000001,	0.0141538573844186,	8.185424457615165E-4,	0.10808558889845282
0.9167208333333334,	1.0E-4,	0.001141585555457958,	6.21804759176614E-6,	0.041674316000367084
0.9167208333333334,	0.020929166666666665,	8.383872331650388E-4,	6.180451856352409E-6,	0.027854969165845067
0.9167208333333334,	0.04175833333333333,	8.487525757994163E-4,	9.856099804139706E-6,	0.022263455026568457
0.9167208333333334,	0.06258749999999999,	0.001228160848071369,	2.54431724256432E-5,	0.02243755015246518
0.9167208333333334,	0.08341666666666665,	0.002472097374502602,	9.862469653798556E-5,	0.028796625242269447
0.9167208333333334,	0.10424583333333332,	0.006314827360884678,	4.924642403140167E-4,	0.04519985085506073
0.9167208333333334,	0.125075,	0.017871544582853116,	0.002597338952164463,	0.08001522504803282
